GENE	ALL_0.01%	%ALL_0.01%	ALL_0.1%	%ALL_0.1%	ALL_1%	%ALL_1%	PP2_ALL_0.1%	%PP2_ALL_0.1%	EA_0.1%	%EA_0.1%	EA_1%	%EA_1%	AA_0.1%	%AA_0.1%	AA_1%	%AA_1%	OEratio	%OEratio	RVIS_ExAC_0.1%	RVIS_ExAC_0.05%popn
C1orf105	1.1	92.12	0.73	85.98	0.45	76.03	0.9	92.88	0.98	90.41	1.5	95.15	0.91	89.45	0.95	90.12	NA	NA	84.94	87.64
C1orf109	-0.16	44.62	-0.03	51.4	0.23	64.77	0.31	74.81	0.47	78.73	-0.17	45.6	0.18	63.51	0.18	69.93	0.77	80.12	64.58	68.31
C1orf110	-0.01	58.66	0.53	80.82	0.37	72.62	0.28	73	0.61	82.85	0.21	71.91	0.88	89	0.23	71.94	NA	NA	87.77	81.46
C1orf111	-0.09	50.47	0.42	77.06	0.13	58.68	0.19	66.37	0.14	63.66	-0.62	16.23	0.25	68	-0.25	36.93	NA	NA	45.52	76.45
C1orf112	-0.24	37.75	-0.2	39.21	-0.28	32.49	-0.46	19.59	0.3	71.54	-0.47	22.65	-0.16	39.9	-0.29	33.93	NA	NA	46.75	13.53
C1orf114	0.25	73.32	0.31	72.6	0.37	72.32	-0.18	35.31	0.24	69.07	0.51	82.39	0.5	79.03	0.14	67.69	NA	NA	68.29	55.39
C1orf116	2.53	98.47	2.8	99.05	0.85	88.39	1.43	97.17	0.79	87.11	-0.64	15.03	1.94	97.64	3.79	99.47	NA	NA	99.36	93.81
C1orf123	-0.16	44.62	0.22	67.92	-0.21	36.15	0.31	74.81	0.22	68.16	-0.09	53.45	-0.16	39.78	-0.27	35.97	-0.18	35.76	49.79	37.93
C1orf127	2.97	99.04	0.99	90.48	1.8	97.45	0.69	88.85	2.32	98.22	1.54	95.3	1.02	91.2	2.75	98.76	NA	NA	99.06	95.99
C1orf129	1.42	94.6	2.51	98.67	1.51	96.08	1.87	98.5	2.03	97.49	1.54	95.33	2.55	98.95	1.87	96.68	NA	NA	NA	89.88
C1orf130	0.35	77.59	0.37	74.95	0.22	64.23	0.14	61.38	0.26	69.87	-0.07	55.41	0.32	71.39	0.27	73.56	NA	NA	66.1	79.05
C1orf131	0.51	82.21	0.71	85.53	0.51	78.34	0.7	89.21	-0.08	49.36	0.25	73.58	0.78	87.12	0.71	86.28	NA	NA	56.92	70.48
C1orf135	0.39	78.96	0.28	71.41	0.33	70.63	0.28	73	-0.18	42.09	0.19	71.2	0.35	72.77	0.2	70.58	NA	NA	49.11	75.63
C1orf141	0.87	89.46	0.88	89.07	0.1	56.51	0.36	77.71	1.17	92.59	1.14	92.67	0.63	83.41	0.77	87.44	NA	NA	76.11	47.60
C1orf146	0.34	76.98	0.1	61.28	0.03	51.87	0.41	79.62	-0.12	46.17	-0.07	55.41	0.41	75.68	0.33	75.84	1.05	89.35	61.01	67.25
C1orf150	0.32	76.46	0.33	73.11	0.28	67.87	0.68	88.74	0.57	81.74	0.42	79.89	0.41	75.68	0.33	75.84	NA	NA	82.74	65.76
C1orf158	0.93	90.2	1.22	93.14	0.84	88.02	1.29	96.48	0.68	84.67	0.78	88.15	1.07	91.9	1.12	92.22	NA	NA	90.4	84.08
C1orf159	0.12	68.07	-0.23	37.11	0.88	88.88	-0.13	38.52	-0.15	44.43	0.21	71.91	-0.06	46.82	-0.36	29.59	0.89	85	NA	NA
C1orf162	0.31	75.87	0.04	56.64	0.24	65.68	0.36	77.52	0.22	68.16	0.44	80.53	0.07	56.4	0.27	73.56	0.74	78.78	82.01	74.21
C1orf168	1.02	91.24	0.82	88.07	0.82	87.57	1.6	97.86	1.57	95.51	0.15	69.09	1.03	91.31	0.3	74.75	NA	NA	85.9	60.44
C1orf172	0	59.55	-0.07	48.78	-0.32	30.27	0.4	79.35	-0.5	22.59	0.27	73.91	0.57	81.41	0.64	84.68	NA	NA	84.56	53.63
C1orf173	0.68	86.19	2.04	97.75	1.33	94.67	0.89	92.72	0.88	88.71	-0.19	41.78	2.18	98.38	2.37	98.05	NA	NA	95.15	98.10
C1orf174	-0.55	18.49	1.06	91.58	1.17	93.06	0.42	80.05	0.9	89.25	-0.62	16.23	0.84	88.12	0.2	70.58	NA	NA	91.83	89.25
C1orf177	0.54	83.12	1.8	96.92	1.21	93.41	2.29	99.07	1.18	92.7	-0.15	46.2	1.84	97.29	1.05	91.34	NA	NA	96.01	90.05
C1orf182	1.19	92.99	0.64	83.63	0.4	73.83	1.02	94.26	0.74	85.94	1.06	91.87	0.47	78	0.21	71.22	NA	NA	87.8	75.33
C1orf185	0.48	81.52	0.57	81.78	0.73	85.21	0.58	85.92	0.46	78.24	0.06	65.58	0.55	80.99	0.42	78.89	2.87	99.9	NA	NA
C1orf186	0.28	74.82	0.26	70.06	0.02	50.77	0.05	53.89	-0.22	39.02	-0.13	49.82	0.28	69.61	0.47	80.57	-0.62	21.19	67.53	55.18
C1orf187	0.2	71.47	1.22	93.19	0.54	79.28	1.21	95.98	0.9	89.25	-0.09	52.13	0.55	80.86	-0.22	39.22	NA	NA	93.74	90.29
C1orf189	-0.06	54.08	-0.12	44.54	0.36	72.17	0.14	61.38	-0.12	46.17	-0.07	55.41	0.21	65.81	-0.02	56.24	0.02	44.51	52.18	71.78
C1orf192	-0.03	56.85	0.41	76.67	0.45	75.7	0.75	90.22	0.67	84.33	-0.05	57.34	0.17	62.87	-0.05	53.64	1.39	95.65	74.99	71.29
C1orf194	1.52	95.15	0.99	90.52	0.16	60.65	0.92	93.12	0.16	64.82	0.4	79.08	1	90.96	1.4	94.39	NA	NA	96.28	89.95
C1orf198	0.51	82.21	0.19	67.03	0.22	64.41	-0.17	36.22	-0.08	49.36	-0.28	36.38	0.29	70.07	0.32	75.45	NA	NA	52.02	63.42
C1orf201	0.33	76.74	0.42	77.06	0.46	76.47	-0.38	23.02	0.51	80.13	0.68	86.13	0.36	73.21	0.43	79.24	NA	NA	89.48	89.04
C1orf21	0	59.32	-0.03	51.04	0.38	72.85	0.2	67.15	-0.02	53.64	0	61.1	0.01	52.23	0.01	58.77	0.67	75.93	55.11	57.16
C1orf210	0.31	75.87	0.55	81.22	0.68	84.11	0.37	78.18	0.26	69.87	0.46	81.29	0.67	84.39	0.56	83.03	NA	NA	81.82	68.61
C1orf212	0.11	67.45	0.15	63.81	0.41	74.15	0.34	76.34	0.15	63.94	0.1	67.97	0.2	65.01	0.13	67.15	NA	NA	NA	NA
C1orf216	0.12	68.07	0.51	80.01	0.3	68.98	0.16	63.19	0.68	84.67	0.25	73.58	0.82	87.81	-0.27	35.97	NA	NA	72.73	81.67
C1orf226	-0.09	51.36	-0.19	39.68	0.28	67.87	0.09	56.76	-0.06	51	-0.02	59.11	0.32	71.39	-0.12	48.49	0.89	84.92	NA	60.31
C1orf227	0.38	78.66	0.17	65.33	0.15	59.99	0.17	64.34	0.26	69.87	0.46	81.29	0.31	70.74	0.42	78.89	1.42	96	84.77	61.21
C1orf228	-0.08	52.75	0.59	82.45	0.62	82.18	0.41	79.62	0.57	81.74	-0.11	51.62	0.51	79.71	-0.15	45.89	NA	NA	NA	NA
C1orf27	0.3	75.65	0.64	83.98	0.24	65.46	0.18	64.93	0.51	80.13	0.68	86.13	0.41	75.34	0.46	80.22	NA	NA	82.68	62.96
C1orf31	-0.06	54.08	0.37	74.95	0.07	54.59	0.71	89.46	-0.12	46.17	-0.07	55.41	0.46	77.54	0.75	86.97	NA	NA	75.6	61.31
C1orf35	0.73	87.23	0.81	87.82	0.43	75	0.97	93.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	70.94
C1orf43	-0.09	51.36	0.06	58.26	0.14	58.97	0.09	56.76	0.26	69.87	-0.07	55.41	0.02	53.09	-0.15	45.89	-1.03	13.14	42.3	28.88
C1orf50	0.32	76.46	0.57	81.89	0.43	75	0.68	88.74	0.19	66.52	0.42	79.89	0.75	86.38	0.78	87.59	NA	NA	86.57	64.44
C1orf51	-0.31	33.12	-0.25	35.75	0.12	57.55	0.14	61.86	-0.01	54.49	-0.24	39.98	-0.69	15.59	-0.45	24.32	NA	NA	41.97	41.44
C1orf52	-0.08	52.75	-0.14	42.88	0.03	51.87	0.12	59.81	-0.16	43.78	-0.09	53.45	0.12	59.86	-0.08	50.87	-1.3	9.58	36.04	55.18
C1orf53	-0.02	58.07	0.19	66.57	0.49	77.22	0.47	82.41	NA	NA	NA	NA	NA	NA	NA	NA	3.02	99.95	NA	80.83
C1orf54	0.39	79.13	0.19	66.57	-0.1	43.16	0.19	65.65	-0.16	43.78	-0.09	53.45	0.31	70.74	0.42	78.89	0.15	50.46	54.75	32.71
C1orf56	0.59	84.31	0.33	73.27	0.17	61.25	0.5	83.25	-0.26	36.72	-0.15	47.68	0.48	78.39	0.44	79.63	NA	NA	70.47	44.84
C1orf61	-0.03	56.85	-0.08	47.79	0.15	59.99	0.17	64.34	-0.12	46.17	-0.07	55.41	0.06	55.51	0.04	61.25	0.9	85.1	46.32	44.23
C1orf63	0.48	81.45	0.91	89.44	0.58	80.82	1.53	97.64	1.37	94.33	0.74	87.36	0.34	72.44	-0.03	54.84	NA	NA	88.44	66.90
C1orf64	0.24	72.99	0.19	66.82	0.04	52.51	0.29	73.88	0.33	73.49	0.27	74.39	-0.07	46.14	-0.21	40.71	-0.66	20.31	72.73	84.78
C1orf65	0.1	66.8	-0.13	43.91	-0.62	18	0.23	69.22	-0.17	42.53	-0.05	56.02	0.03	53.23	0.22	71.49	NA	NA	58.35	39.08
C1orf68	1.15	92.6	1.06	91.42	1.45	95.64	0.68	88.74	0.67	84.33	1.01	91.35	1.94	97.65	1.75	96.18	NA	NA	NA	NA
C1orf74	0.22	72.38	-0.1	46.49	0.44	75.35	-0.03	46.77	0.09	60.89	0.36	77.59	-0.07	46.14	0.18	69.93	1.01	88.35	49.79	37.93
C1orf85	0.63	85.22	0.02	55.61	0.58	80.87	0.37	77.83	0.56	81.29	0.99	91.01	-0.04	47.78	0.88	89.2	NA	NA	77.96	76.56
C1orf86	0.19	71.21	0.37	75.12	0.21	63.85	0.53	84.47	0.33	73.49	0.27	74.39	0.27	69.07	0.24	72.41	NA	NA	62.71	71.06
C1orf87	0.47	81.23	1.73	96.6	1.3	94.31	1.34	96.8	1.31	93.86	0.46	80.95	0.97	90.43	1.58	95.5	NA	NA	90.94	93.23
C1orf88	0.72	86.98	0.3	72.01	0.39	73.25	0.09	56.76	0.63	83.48	0.99	91.11	0.47	78	0.59	83.77	NA	NA	67.01	72.39
C1orf94	1.61	95.65	1.09	91.87	0.29	68.14	0.35	77.05	1.15	92.29	0.89	89.69	0.83	88	1.1	91.98	NA	NA	91.14	77.44
C1orf95	0.02	61.78	0.01	54.63	-0.12	41.57	0.24	69.83	0.01	55.83	0.02	62.73	0.06	55.51	0.04	61.25	-1.66	6.38	54.14	42.25
C4BPA	1.83	96.56	1.18	92.75	0.17	60.83	0.03	51.43	0.39	75.49	0.89	89.69	1.05	91.55	1.56	95.34	NA	NA	86.5	44.26
C4BPB	-0.22	39.8	0.13	63	0.07	54.1	0.24	70.23	-0.42	26.73	-0.26	38.17	0.18	63.51	-0.21	40.71	-0.2	34.9	60.36	48.23
C8A	1.29	93.74	1.58	95.79	0.42	74.47	0.56	85.41	1.51	95.19	1.46	94.89	0.99	90.71	1.28	93.56	NA	NA	95.96	89.44
C8B	0.19	70.67	0.56	81.67	0.49	77.4	0.42	80.14	0.92	89.47	0.51	82.12	0.48	78.45	-0.35	29.97	NA	NA	59.82	89.56
CA14	-0.38	28.24	-0.6	17.75	0.06	53.62	-0.23	31.65	-0.15	44.43	-0.32	33.13	-0.6	18.44	-0.39	27.64	NA	NA	25.87	64.98
CA6	2.04	97.31	0.77	87.06	0.19	62.35	0.86	92.23	0.76	86.53	1.65	95.93	1.28	93.9	1.71	96.06	NA	NA	89.78	56.80
CACHD1	-1.91	1.36	-1.74	2.42	-0.33	29.51	-1.16	5.53	-1.96	1.78	-1.42	2.7	-1.43	4.57	-1.87	1.71	NA	NA	13.13	24.69
CACNA1E	-1.62	2.06	-2.71	0.71	-2.85	0.86	-1.97	1.59	-2.58	0.83	-1.23	4	-2.09	1.96	-0.62	16.4	NA	NA	3.92	2.15
CACNA1S	-1.32	3.64	-1.21	5.71	-0.67	16.36	-1.62	2.64	-0.99	8.77	-0.02	57.35	-2.44	1.26	-0.8	11.09	NA	NA	24.58	31.60
CACYBP	-0.12	48.6	0.04	56.64	0.35	71.45	0.07	55.44	0.19	66.52	-0.11	51.62	0.27	69.07	0.24	72.41	1.1	90.73	56.77	47.52
CADM3	-0.05	54.71	-0.49	22.36	-0.47	23.06	-0.04	45.77	-0.48	24	0	59.84	-0.35	28.67	-0.39	27.64	NA	NA	23.04	11.61
CALML6	0.46	81.06	0.13	63.2	0.24	65.79	0.35	76.89	-0.11	46.94	0.23	72.83	0.64	83.72	0.62	84.24	NA	NA	83.03	78.14
CAMK1G	-0.29	33.48	-0.87	10.73	-0.58	19.25	-0.62	14.13	0.11	61.7	-0.11	50.34	-1.05	8.4	-0.46	23.37	NA	NA	77.33	46.26
CAMK2N1	0.08	65.66	0.1	60.96	0.04	52.36	0.3	74.46	0.08	60.11	0.06	65.58	0.16	62.02	0.1	65.33	NA	NA	63.21	56.44
CAMSAP2	-1.38	3.26	-0.44	24.68	-1.02	9.23	-1.4	3.63	-0.2	39.83	-0.79	10.46	-0.23	35.08	-1.03	6.9	NA	NA	3.32	10.19
CAMTA1	-2.23	0.83	-2.13	1.5	-1.08	8.38	-2.3	1.05	-2.01	1.66	-1.93	1.15	-2.57	1.08	-2.32	0.91	NA	NA	2.01	3.14
CAP1	-0.49	21.37	-0.78	12.77	-0.26	33.14	-0.37	23.93	-0.82	12.27	-0.51	21.17	-0.68	15.98	-0.6	17.35	NA	NA	92.06	77.55
CAPN2	0.38	78.67	0.72	85.83	1.19	93.29	0.46	81.82	0.28	70.49	-0.19	41.93	-0.12	42.25	-0.12	47.07	NA	NA	29.03	71.99
CAPN9	1.66	95.98	1.12	92.1	1.75	97.2	1.47	97.38	2.06	97.58	0.31	75.28	0.98	90.46	1.18	92.77	NA	NA	97.92	96.25
CAPZA1	0.18	70.58	0.35	74.18	0.17	61.25	-0.06	44.03	0.4	76.21	0.31	76.03	-0.01	50.36	-0.33	31.71	NA	NA	70.41	74.10
CAPZB	-0.09	51.36	-0.16	41.25	-0.3	31.36	0.1	58.27	-0.22	39.02	-0.13	49.82	-0.08	45.18	-0.05	53.64	-1.48	7.87	69.89	39.95
CASP9	0.13	68.41	0.82	88.02	0.19	62.45	0.27	71.85	1.18	92.7	0.91	89.91	0.66	84.2	-0.07	51.29	NA	NA	82.72	58.15
CASQ1	0.69	86.38	0.6	82.74	0.3	69.08	1.01	94.2	0.24	69.07	-0.02	57.92	0.41	75.34	0.08	63.86	NA	NA	70.57	84.09
CASQ2	0.26	73.95	-0.16	42.06	0.12	57.64	0.13	60.5	-0.1	47.36	0	59.84	-0.24	35	0.14	67.69	NA	NA	36.7	21.15
CASZ1	-1.91	1.36	-2.42	1.06	-1.62	3.73	-2.6	0.66	-1.88	2.01	-1.51	2.23	-2.35	1.4	-3.04	0.37	NA	NA	7.44	13.60
CATSPER4	1.07	91.67	0.4	76.45	0.36	72.03	-0.09	41.76	1.5	95.14	1.69	96.06	0.35	72.84	0.95	90.17	NA	NA	89.72	94.45
CC2D1B	-1.19	4.63	0.19	66.29	1.28	94.18	-0.23	31.68	-0.72	14.89	-0.87	8.5	0.98	90.46	-0.36	28.44	NA	NA	44.06	90.21
CCBL2	-0.08	51.94	-0.05	50.22	0.32	69.89	0.21	67.76	0.03	57.07	-0.45	24.65	0.06	54.68	0.17	69.17	NA	NA	89.91	52.39
CCDC17	0.3	75.65	0.4	76.31	1.4	95.31	0.75	90.39	0.38	75.31	1.12	92.45	0.74	86.27	0.52	81.96	NA	NA	NA	88.60
CCDC19	0.21	71.9	0.36	74.66	0.57	80.61	0.46	81.56	-0.21	39.18	-0.02	57.47	0.38	74.23	1.29	93.62	NA	NA	76.25	94.49
CCDC23	0.11	67.45	0.15	63.81	0.12	57.85	0.34	76.34	0.15	63.94	0.1	67.97	0.2	65.01	0.13	67.15	NA	NA	62.49	55.29
CCDC24	-0.01	58.66	0.31	72.38	0.08	55.42	0.29	74.07	-0.25	37.42	0.15	69.59	0.29	70.07	0.32	75.45	NA	NA	58.41	60.85
CCDC27	2.42	98.27	2.63	98.8	1.55	96.33	1.01	94.1	2.51	98.6	1.37	94.43	2.48	98.85	2.9	98.94	NA	NA	98.76	96.61
CCDC28B	0.28	74.82	0.26	70.06	0.02	50.77	0.63	87.53	0.5	79.81	0.38	78.32	0.32	71.39	0.27	73.56	1.1	90.65	83.03	62.73
CCDC30	-0.57	17.51	0.42	77.26	-0.33	29.85	0.51	83.46	0.22	67.66	-0.28	35.15	-0.34	29.19	0.21	71.3	NA	NA	58.77	39.62
CCNL2	-0.37	28.55	7.61E-05	53.98	-0.34	29.11	-0.12	38.99	0.36	74.1	0.34	76.35	-0.23	35.31	-0.78	11.79	NA	NA	11.96	56.91
CCT3	-0.14	46.38	-0.38	27.88	-0.72	15.23	0.14	62.03	-0.1	47.36	0	59.84	-0.1	43.86	-0.15	44.42	NA	NA	25.55	17.58
CD101	2.21	97.8	1.68	96.34	0.54	79.39	-0.29	27.71	2.5	98.59	1.42	94.67	0.58	81.68	1.37	94.18	NA	NA	96.92	92.02
CD160	-0.19	42.14	-0.07	48.12	0.15	59.55	0.27	72.76	0.06	58.83	-0.19	43.65	0.67	84.39	-0.21	40.71	0.61	73.29	57.88	63.08
CD164L2	0.62	85.01	0.15	64.32	-0.18	37.67	-0.03	46.77	0.06	58.83	0.34	76.81	-0.01	50.36	0.44	79.63	-0.58	22.23	70.86	55.70
CD1A	0.54	83.12	0.11	62	0.63	82.55	-0.33	25.93	0.93	89.76	0.46	80.95	-0.32	29.71	0.31	74.98	NA	NA	70.3	71.67
CD1B	0.66	85.85	0.31	72.6	0.08	54.9	0.11	58.91	1.03	91.12	0.53	82.91	-0.08	44.23	-0.31	32.45	NA	NA	70.82	81.10
CD1C	-0.11	49.14	-0.09	46.92	0.09	56.06	-0.11	40	-0.13	44.96	-0.55	18.99	-0.14	40.84	-0.18	41.72	NA	NA	65.04	34.22
CD1D	-0.45	23.72	0.02	55.45	0.44	75.44	-0.03	47.18	-0.25	37.42	-0.38	28.74	0.29	70.07	-0.06	52.06	NA	NA	33.53	86.95
CD1E	0.93	90.1	0.09	60.57	0.55	79.65	-0.63	13.6	-0.34	31.36	-0.15	46.2	0.18	63.69	0.55	82.5	NA	NA	64.54	81.14
CD2	0.05	63.48	0.4	76.15	-0.05	46.33	0.65	88.07	0.55	81.07	0.17	70.35	0.14	61	0	57.39	NA	NA	65.31	40.56
CD244	0.29	75.08	0.37	75.43	0.49	77.35	0.45	81.45	0.14	63.66	-0.09	52.13	0.64	83.72	0.62	84.24	NA	NA	88.5	54.62
CD247	-0.19	42.14	-0.34	30.07	-0.14	40.22	-0.03	46.77	-0.32	32.45	-0.19	43.65	-0.27	33.32	-0.18	43.38	0.97	87.4	34.36	52.29
CD34	-0.07	53.25	0.22	68.27	0.07	54.23	-0.06	44.44	0.38	75.31	0.06	64.99	0.15	61.42	-0.15	44.42	NA	NA	83.22	79.74
CD46	0.08	65.39	0.44	77.7	0.33	70.26	0.11	58.69	-0.21	39.76	0.17	70.35	0.43	76.7	0.03	60.12	NA	NA	45.6	30.11
CD48	0.39	78.96	0.53	80.82	0.04	52.61	0.86	92.23	-0.07	49.76	0.02	61.88	0.73	86.12	0.29	74.24	NA	NA	68.15	70.31
CD52	0.84	88.94	0.72	85.92	0.86	88.44	0.51	83.61	1.11	91.97	1.06	91.87	0.9	89.22	0.72	86.42	NA	NA	90.37	82.27
CD53	-0.12	48.6	-0.21	38.28	0.2	63.27	0.07	55.44	-0.12	46.17	-0.07	55.41	0.27	69.07	-0.15	45.89	0.07	46.54	29.66	43.91
CD55	-0.39	27.26	0.35	74.37	0.16	60.76	0.04	52.78	-0.52	21.96	-0.32	33.13	0.49	78.77	0.29	74.24	NA	NA	34.56	42.59
CD58	-0.19	42.14	0.62	83.14	0	49.71	0.27	72.76	0.43	77.45	-0.19	43.65	0.13	60.51	-0.24	38.27	NA	NA	55.67	71.43
CD5L	0.42	79.85	0.33	73.41	-0.02	48.12	0.31	75.05	0.58	82.08	0.19	71.2	0.05	54.3	0.32	75.45	NA	NA	61.9	41.14
CD84	-0.42	25.38	0.04	57.15	0.67	83.65	-0.01	48.61	-0.28	35.31	-0.41	27.43	0.38	74.58	-0.39	27.64	NA	NA	24.36	72.75
CDA	0.11	67.24	-0.25	35.75	-0.18	38.2	-0.15	37.38	0.02	56.56	0.31	76.03	-0.54	20.48	-0.12	47.02	NA	NA	60.29	71.87
CDC14A	-0.88	8.72	-0.4	26.93	-0.63	17.74	0.05	53.16	0.12	62.22	-0.87	8.82	-0.41	25.08	-0.52	20.29	NA	NA	51.28	18.13
CDC20	-0.41	26.34	-0.4	26.53	-0.31	30.62	-0.27	29.64	-0.31	33.16	-0.43	25.96	-0.4	26.25	-0.42	25.91	NA	NA	38.9	11.78
CDC42	-0.05	55.48	-0.1	46.2	-0.32	30	0.15	62.8	-0.16	43.78	-0.09	53.45	0.01	52.23	0.01	58.77	-3.99	0.35	48.93	41.38
CDC42BPA	-0.94	7.41	-1.54	3.32	-0.95	10.36	-1.58	2.79	-2.21	1.29	-0.81	9.88	-1.34	5.18	0.26	73.09	NA	NA	6.31	2.24
CDC42SE1	0.05	64.03	0.06	58	-0.04	46.72	0.27	72.42	0.04	58.08	0.04	64.23	0.16	62.02	0.1	65.33	0.02	44.22	71.58	55.99
CDC7	-0.59	16.71	-0.2	38.98	0.04	52.15	0.09	57.32	-0.41	27.28	-0.49	22.26	-0.13	41.19	-0.34	30.52	NA	NA	51.87	39.71
CDC73	-0.23	38.75	-0.38	27.42	-0.41	25.87	-0.06	44.03	-0.42	26.73	-0.26	38.17	-0.27	33.32	-0.18	43.38	-2.23	3.19	22.07	12.32
CDCA8	-0.26	36.41	-0.18	39.95	-0.2	36.75	-0.1	41.12	-0.01	54.49	-0.24	39.98	-0.45	23.52	-0.3	33.66	-0.37	28.6	40.16	57.08
CDCP2	-0.04	55.69	-0.13	43.98	0	49.35	-0.22	32.07	-0.22	38.03	-0.32	32.03	-0.06	46.23	0.16	68.78	NA	NA	51.62	89.06
CDK18	-0.24	37.97	0.2	67.3	0.17	60.83	-0.26	29.85	0.01	55.15	-0.17	44.12	0.41	75.34	-0.31	32.45	NA	NA	67.49	72.17
CDKN2C	-0.1	49.88	0.06	58.26	0.1	56.32	0.09	56.76	-0.16	43.78	-0.09	53.45	-0.02	49.61	-0.18	43.38	1.13	91.26	44.03	47.49
CELA2A	-0.59	16.71	-0.45	24.33	0.76	86.16	-0.19	34.15	0.18	65.71	-0.6	17.16	-0.19	37.79	-0.6	17.35	NA	NA	37.93	81.55
CELA2B	0.4	79.41	0.31	72.38	-0.06	45.35	-0.28	28.4	0.34	73.83	0.57	84.01	0.24	67.53	0.68	85.63	NA	NA	77.03	31.85
CELA3A	0.13	68.41	-0.36	29.31	0.04	52.67	0.27	71.85	0.28	70.75	0.53	82.91	-0.4	25.82	-0.29	33.93	NA	NA	73.3	93.40
CELA3B	1.3	93.79	1.73	96.6	1.59	96.54	0.47	82.18	1.87	97.03	0.87	89.39	1.08	91.94	0.33	75.91	NA	NA	95.03	97.79
CELF3	-0.18	43.45	-0.05	49.76	-0.39	26.67	0	49.5	0.16	64.82	-0.13	49.82	-0.36	27.99	-0.24	38.27	-2.27	3.05	34.06	23.26
CELSR2	-3.78	0.14	-1.81	2.18	-3.53	0.54	-1.79	1.99	-1.37	4.41	-2.53	0.5	-4.82	0.14	-3.43	0.25	NA	NA	3.53	0.57
CENPF	6.68	99.86	4.96	99.81	3	99.31	8.98	99.94	6.76	99.89	8.9	99.9	4.67	99.81	6.38	99.85	NA	NA	97.58	94.83
CENPL	-0.26	36.41	0.31	72.23	0.82	87.46	0.48	82.63	0.09	60.89	-0.17	45.6	0.43	76.7	0.03	60.12	NA	NA	68.42	70.76
CEP104	-0.83	9.69	-0.15	42.34	0.83	87.77	-1.16	5.5	-0.65	17.01	-0.3	33.25	-0.87	11.28	0.16	68.8	NA	NA	60.18	92.65
CEP170	0.03	62	-0.27	34.82	0.05	53.23	-0.72	11.65	-0.02	52.61	-0.19	42.29	-0.02	49.8	-0.58	17.81	NA	NA	NA	30.27
CEP350	-1.28	3.92	0.08	59.21	-0.84	12.38	-0.41	21.54	-0.49	23.35	-0.77	10.82	0.15	61.43	-0.71	13.48	NA	NA	1.89	44.18
CEP85	0.23	72.5	-0.11	45.57	0.03	51.68	-0.39	22.48	-0.16	42.82	0.25	73.1	-0.24	34.67	0.27	73.66	NA	NA	21.27	47.07
CEPT1	-0.26	36.41	0.31	72.23	-0.35	29	-0.1	41.12	0.23	68.74	0.21	71.91	0.22	66.59	-0.18	43.38	NA	NA	69.49	29.30
CERS2	0.02	61.18	-0.14	43.57	-0.71	15.4	0.04	52.78	0.3	72	0.25	73.58	-0.68	15.98	-0.22	39.22	NA	NA	40.56	16.85
CFH	2.16	97.65	0.52	80.37	1.84	97.64	-0.16	36.28	0.43	77.01	0.48	81.33	0.86	88.52	2.19	97.7	NA	NA	70.95	30.07
CFHR1	0.8	88.48	0.77	87.06	1.06	91.67	0.28	73	0.07	59.28	0.63	85.37	1.13	92.54	1.39	94.31	NA	NA	89.87	87.84
CFHR2	0.61	84.74	1.35	94.31	0.94	89.81	1.39	97.05	1.47	95	0.8	88.6	1.21	93.31	0.06	62.42	NA	NA	90.46	82.13
CFHR3	1.22	93.16	1.73	96.56	1.5	96	2.57	99.28	0.44	77.82	-0.43	25.96	1.56	95.85	1.51	95.13	NA	NA	94.43	96.56
CFHR5	0.1	66.65	0.18	66.24	0.1	56.63	0.32	75.51	0.92	89.47	-0.55	18.37	0.35	72.84	0.57	83.13	NA	NA	92.57	88.34
CGN	-0.14	46.01	1.97	97.57	1.48	95.88	1.39	97.03	0.84	88.08	0.84	88.89	1.16	92.76	1.05	91.27	NA	NA	96.92	99.17
CHD1L	1.14	92.45	1.09	91.91	0.56	80.09	0.09	56.79	0.87	88.59	0.76	87.43	0.21	65.29	0.48	80.64	NA	NA	72.58	42.07
CHD5	-2.36	0.7	-3.07	0.49	-3.48	0.57	-2.74	0.54	-2.03	1.62	-2.18	0.78	-3.47	0.41	-2.49	0.7	NA	NA	3.72	0.96
CHI3L1	-0.45	23.17	-0.13	43.98	0.87	88.68	-0.51	17.69	0.08	59.61	-0.13	48.29	0.83	88	-0.82	10.65	NA	NA	76.49	95.00
CHI3L2	0.15	69	0.15	64.74	0.38	72.69	0.28	73.14	0.03	57.07	0.61	84.96	0.47	78.11	-0.19	41.14	NA	NA	64.28	92.24
CHIA	2.81	98.89	2.09	97.87	1.95	97.92	0.68	88.76	2.55	98.62	3.51	99.38	2.29	98.56	3.31	99.25	NA	NA	98.38	94.65
CHIT1	0.34	77.11	1.05	91.32	0.64	82.94	0.61	86.86	0.29	70.97	0.29	74.69	0.49	78.83	1.04	91.27	NA	NA	93.9	96.85
CHML	-0.04	55.69	-0.38	28.11	0.58	80.9	-0.51	17.69	-0.85	11.7	-0.24	38.63	-0.11	43.01	0.13	67.32	NA	NA	46.56	25.61
CHRM3	-0.55	18.49	-0.14	43.77	0.3	69.08	-0.14	37.72	-0.03	52.33	0.04	63.43	0.01	51.24	-0.25	36.93	NA	NA	16.19	34.51
